replication,alpha,pred_scale_x1,pred_scale_x2,pred_x2_share,pred_regret,pred_bandwidth,dec_scale_x1,dec_scale_x2,dec_x2_share,dec_regret,dec_bandwidth
0,0.5,12.859198375964942,0.07776534514539371,0.006011097102985412,0.02912911166275345,1.2239634588398036,13.35386283502771,0.07488469908324656,0.005576447013619745,0.029115189417694864,1.2466144528702652
0,0.7,12.859198375964942,0.07776534514539371,0.006011097102985412,0.06796677767390724,0.6994076907656022,15.027207585287707,0.06654596300240397,0.004408841232865008,0.07121273723030164,0.7546872774821637
0,0.85,12.859198375964942,0.07776534514539371,0.006011097102985412,0.18232582736073616,0.6994076907656022,8.408026755690953,0.11893396977158195,0.013947990802447435,0.16258083705971166,0.569947674695404
0,0.9,12.859198375964942,0.07776534514539371,0.006011097102985412,0.21450810834228567,0.6994076907656022,7.019462683828282,0.14246104652765515,0.019891449824274383,0.18015832884872457,0.523656482183953
0,0.95,12.859198375964942,0.07776534514539371,0.006011097102985412,0.24326550947541362,1.7485192269140053,4.3893015793261005,0.22782667855634836,0.04934380546336315,0.16693206460088258,0.42919787929102154
0,0.99,12.859198375964942,0.07776534514539371,0.006011097102985412,0.16845695108309494,1.7485192269140053,1.4436280317586576,0.6926992119859152,0.32424770784261786,0.12894904106942612,0.5872748024254194
1,0.5,15.406714526753342,0.0649067650512721,0.004195214181312304,0.06773977814791043,0.7410260070114773,20.44157766487168,0.04891990316963032,0.0023874433994189523,0.0673392519402014,0.8521831773984637
1,0.7,15.406714526753342,0.0649067650512721,0.004195214181312304,0.121466033258673,0.7410260070114773,13.74592477125455,0.07274883404652395,0.0052645308894636806,0.11821993612848902,0.7008192549865339
1,0.85,15.406714526753342,0.0649067650512721,0.004195214181312304,0.22296631364436825,0.7410260070114773,9.046430918360803,0.1105408319617388,0.012071767280252355,0.19415797999875095,0.572958745207427
1,0.9,15.406714526753342,0.0649067650512721,0.004195214181312304,0.2875991841810947,0.7410260070114773,1.1353232664755297,0.8808064007217752,0.43687983717149315,0.17985129473863443,0.33474687803760955
1,0.95,15.406714526753342,0.0649067650512721,0.004195214181312304,0.3328177247718613,0.7410260070114773,1.5110569353659487,0.6617884320538984,0.3045722636211989,0.1831969416028768,0.3358909250655479
1,0.99,15.406714526753342,0.0649067650512721,0.004195214181312304,0.24442468007181628,0.7410260070114773,0.6818952751615032,1.4665008490682907,0.6826026320420939,0.1379757449142943,0.5923184049610978
2,0.5,22.723261577473746,0.044007766956805604,0.001932940059303643,0.03792744574482798,0.8947812916505886,44.02724815370276,0.022713206978299382,0.000515623766212271,0.03915347886465703,1.243598550548449
2,0.7,22.723261577473746,0.044007766956805604,0.001932940059303643,0.11853031134461833,0.8947812916505886,30.295825430172194,0.03300784797248273,0.0010883322701459996,0.12038856154206334,1.032291568291092
2,0.85,22.723261577473746,0.044007766956805604,0.001932940059303643,0.20717647523785848,0.8947812916505886,4.745736499670972,0.210715449555476,0.04251336474438379,0.12677745346688923,0.4322599063156949
